Organisational Family	Organisation	Category	Service Type	Price
"Department for Business, Innovation and Skills"	North West Development Agency	Professional Services Consultancy	Technical Consultancy	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Professional Services Consultancy	Uncategorised	13825024.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Events Admissions	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Staff Childcare	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Staff Health & Safety	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Staff Medical Care	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Staff Relocation	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Staff Subscriptions	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Personnel Related	Uncategorised	879969.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Adult Social Care	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Child Social Care	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Educational Programmes	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Emergency Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Entertainment Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Legal Aid	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Operation of Custodial Facilities	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Transport Provision	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Welfare to Work	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	World Programmes	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Social Care	Uncategorised	626564.00
"Department for Business, Innovation and Skills"	North West Development Agency	Marketing & Media	Advertising	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Marketing & Media	Marketing	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Marketing & Media	Promotion	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Marketing & Media	Uncategorised	10318364.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Accommodation Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Building Management	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Catering	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Cleaning	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Food	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Office Furniture	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Security	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Facilities	Uncategorised	5614449.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Drugs & Biologicals	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Medical & Surgical Consumables	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Medical & Surgical Equipment	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Pathology	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Patients Appliances	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Radiological & Diagnostic	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Clinical & Medical	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Office Consumables	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Office Machines	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Office Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Office Supplies	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Post & Courier	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Print	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Records Storage	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Reprographics	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Office Solutions	Uncategorised	1358010.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Building Repair & Maintenance	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Construction Service Providers	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Construction Supplies	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Design & Build	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Main Contractors	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Prime Contractors	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Construction	Uncategorised	11414003.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Hardware	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Maintenance & Support	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Managed / Outsourced Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Networking	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Software	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Systems Delivery	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Telecoms	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	ICT	Uncategorised	3072701.00
"Department for Business, Innovation and Skills"	North West Development Agency	Logistics	Transport	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Logistics	Warehousing & Storage	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Logistics	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Air	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Booking Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Coach	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Events Organisation	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Ferry	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Hotels	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Rail	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Taxi	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Vehicle Hire	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Travel	Uncategorised	573794.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Airborne Goods and Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Marine Goods and Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Military Systems	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Munitions	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Wheeled / Tracked Goods and Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Defence	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Energy & Utilities	Electricity	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Energy & Utilities	Gas	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Energy & Utilities	Solid Fuels	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Energy & Utilities	Water	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Energy & Utilities	Uncategorised	574739.00
"Department for Business, Innovation and Skills"	North West Development Agency	Fuels Lubricants & Gases	Fuels	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Fuels Lubricants & Gases	Gases	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Fuels Lubricants & Gases	Lubricants	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Fuels Lubricants & Gases	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Fleet Management	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Leasing	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Purchase	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Vehicle Disposal	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Vehicle Maintenance	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Vehicles	Uncategorised	573794.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Animal Related Goods	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Art & Exhibits	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Clothing	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Domestic Goods	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Environmental Materials	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Learning & Development Materials	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Non-Catering Vending Machines	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Operational Goods	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Engineering Goods	Industrial	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Engineering Goods	Non-Medical Chemicals	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Engineering Goods	Tools	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Engineering Goods	Uncategorised	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Waste Management	Waste Management Materials	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Waste Management	Waste Management Services	0.00
"Department for Business, Innovation and Skills"	North West Development Agency	Waste Management	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Clinical Support Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Environmental Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Financial Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Interpretation & Translation Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Learning & Development Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Legal Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Operational Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Technical Services	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Other	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Temporary Staff	Admin & Clerical	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Temporary Staff	Interim Managers	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Temporary Staff	Specialist Contractors	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Temporary Staff	Uncategorised	526032.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Finance Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	IT/IS Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Legal Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Marketing & Communications Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Org & Change Management Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	PPM Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Procurement Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Property & Construction Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Strategy Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Technical Consultancy	0.00
"Department for Business, Innovation and Skills"	One North East	Professional Services Consultancy	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Events Admissions	0.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Staff Childcare	0.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Staff Health & Safety	0.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Staff Medical Care	0.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Staff Relocation	29260.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Staff Subscriptions	14276.00
"Department for Business, Innovation and Skills"	One North East	Personnel Related	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Adult Social Care	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Child Social Care	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Educational Programmes	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Emergency Services	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Entertainment Services	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Legal Aid	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Operation of Custodial Facilities	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Transport Provision	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Welfare to Work	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	World Programmes	0.00
"Department for Business, Innovation and Skills"	One North East	Social Care	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Marketing & Media	Advertising	2576634.00
"Department for Business, Innovation and Skills"	One North East	Marketing & Media	Marketing	0.00
"Department for Business, Innovation and Skills"	One North East	Marketing & Media	Promotion	0.00
"Department for Business, Innovation and Skills"	One North East	Marketing & Media	Uncategorised	5997422.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Accommodation Services	743580.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Building Management	355746.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Catering	145682.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Cleaning	135532.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Food	109412.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Office Furniture	18381.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Security	60498.00
"Department for Business, Innovation and Skills"	One North East	Facilities	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Drugs & Biologicals	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Medical & Surgical Consumables	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Medical & Surgical Equipment	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Pathology	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Patients Appliances	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Radiological & Diagnostic	0.00
"Department for Business, Innovation and Skills"	One North East	Clinical & Medical	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Office Consumables	1702.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Office Machines	0.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Office Services	0.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Office Supplies	242771.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Post & Courier	38168.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Print	0.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Records Storage	37113.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Reprographics	29153.00
"Department for Business, Innovation and Skills"	One North East	Office Solutions	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Building Repair & Maintenance	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Construction Service Providers	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Construction Supplies	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Design & Build	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Main Contractors	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Prime Contractors	0.00
"Department for Business, Innovation and Skills"	One North East	Construction	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Hardware	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Maintenance & Support	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Managed / Outsourced Services	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Networking	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Software	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Systems Delivery	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Telecoms	0.00
"Department for Business, Innovation and Skills"	One North East	ICT	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Logistics	Transport	0.00
"Department for Business, Innovation and Skills"	One North East	Logistics	Warehousing & Storage	0.00
"Department for Business, Innovation and Skills"	One North East	Logistics	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Air	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Booking Services	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Coach	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Events Organisation	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Ferry	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Hotels	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Rail	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Taxi	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Vehicle Hire	0.00
"Department for Business, Innovation and Skills"	One North East	Travel	Uncategorised	827135.00
"Department for Business, Innovation and Skills"	One North East	Defence	Airborne Goods and Services	0.00
"Department for Business, Innovation and Skills"	One North East	Defence	Marine Goods and Services	0.00
"Department for Business, Innovation and Skills"	One North East	Defence	Military Systems	0.00
"Department for Business, Innovation and Skills"	One North East	Defence	Munitions	0.00
"Department for Business, Innovation and Skills"	One North East	Defence	Wheeled / Tracked Goods and Services	0.00
"Department for Business, Innovation and Skills"	One North East	Defence	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Energy & Utilities	Electricity	159476.00
"Department for Business, Innovation and Skills"	One North East	Energy & Utilities	Gas	43206.00
"Department for Business, Innovation and Skills"	One North East	Energy & Utilities	Solid Fuels	0.00
"Department for Business, Innovation and Skills"	One North East	Energy & Utilities	Water	15441.00
"Department for Business, Innovation and Skills"	One North East	Energy & Utilities	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Fuels Lubricants & Gases	Fuels	0.00
"Department for Business, Innovation and Skills"	One North East	Fuels Lubricants & Gases	Gases	0.00
"Department for Business, Innovation and Skills"	One North East	Fuels Lubricants & Gases	Lubricants	0.00
"Department for Business, Innovation and Skills"	One North East	Fuels Lubricants & Gases	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Fleet Management	0.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Leasing	39332.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Purchase	0.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Vehicle Disposal	0.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Vehicle Maintenance	0.00
"Department for Business, Innovation and Skills"	One North East	Vehicles	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Animal Related Goods	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Art & Exhibits	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Clothing	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Domestic Goods	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Environmental Materials	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Learning & Development Materials	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Non-Catering Vending Machines	0.00
"Department for Business, Innovation and Skills"	One North East	Operational Goods	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Engineering Goods	Industrial	0.00
"Department for Business, Innovation and Skills"	One North East	Engineering Goods	Non-Medical Chemicals	0.00
"Department for Business, Innovation and Skills"	One North East	Engineering Goods	Tools	0.00
"Department for Business, Innovation and Skills"	One North East	Engineering Goods	Uncategorised	0.00
"Department for Business, Innovation and Skills"	One North East	Waste Management	Waste Management Materials	0.00
"Department for Business, Innovation and Skills"	One North East	Waste Management	Waste Management Services	10144.00
"Department for Business, Innovation and Skills"	One North East	Waste Management	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Clinical Support Services	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Environmental Services	17505.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Financial Services	203280.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Interpretation & Translation Services	1575.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Learning & Development Services	72071.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Legal Services	225961.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Operational Services	3849507.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Technical Services	1014938.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Other	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Temporary Staff	Admin & Clerical	879803.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Temporary Staff	Interim Managers	1667949.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Temporary Staff	Specialist Contractors	183763.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Temporary Staff	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Finance Consultancy	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	177036.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	IT/IS Consultancy	1015947.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Legal Consultancy	1743130.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Marketing & Communications Consultancy	241393.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Org & Change Management Consultancy	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	PPM Consultancy	3369516.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Procurement Consultancy	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Property & Construction Consultancy	6454457.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Strategy Consultancy	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Technical Consultancy	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Professional Services Consultancy	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Events Admissions	125621.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Staff Childcare	35139.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Staff Health & Safety	29724.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Staff Medical Care	40409.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Staff Relocation	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Staff Subscriptions	237604.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Personnel Related	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Adult Social Care	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Child Social Care	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Educational Programmes	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Emergency Services	54628.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Entertainment Services	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Legal Aid	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Operation of Custodial Facilities	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Transport Provision	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Welfare to Work	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	World Programmes	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Social Care	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Marketing & Media	Advertising	639248.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Marketing & Media	Marketing	99187.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Marketing & Media	Promotion	288499.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Marketing & Media	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Accommodation Services	4325155.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Building Management	397304.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Catering	31584.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Cleaning	138797.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Food	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Office Furniture	342663.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Security	300477.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Facilities	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Drugs & Biologicals	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Medical & Surgical Consumables	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Medical & Surgical Equipment	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Pathology	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Patients Appliances	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Radiological & Diagnostic	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Clinical & Medical	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Office Consumables	61119.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Office Machines	32516.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Office Services	245177.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Office Supplies	29171.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Post & Courier	60841.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Print	2844855.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Records Storage	31772.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Reprographics	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Office Solutions	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Building Repair & Maintenance	1064133.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Construction Service Providers	81892.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Construction Supplies	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Design & Build	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Main Contractors	15540951.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Prime Contractors	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	Construction	Uncategorised	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	ICT	Hardware	338201.00
"Department for Business, Innovation and Skills"	South East England Development Agency	ICT	Maintenance & Support	329038.00
"Department for Business, Innovation and Skills"	South East England Development Agency	ICT	Managed / Outsourced Services	388764.00
"Department for Business, Innovation and Skills"	South East England Development Agency	ICT	Networking	0.00
"Department for Business, Innovation and Skills"	South East England Development Agency	ICT	Software	114515.00
